model,code,description,param,is_default
套管主型号,TG,保护套管,NaN,1
TG套管形式,-A,A 型螺纹连接 锥形保护套管,Tapered Type；Solid hole， tapered；Tapered from drilled barstock；整体钻孔锥型；Tapered；单端钻孔锥型套管；法兰连接整体锥型钻孔；法兰式锥形整体钻孔外套管；钢棒整体钻孔锥形套管；固定法兰式整体钻孔锥形保护套管；固定法兰锥形整体钻孔式；加强型锥型整体钻孔；锥形；一体化整体钻孔锥形法兰套管；整体锥形套管；整体锥形钻孔；整体钻孔式的锥形套管；整体钻孔锥形；整体钻孔锥形保护管；整体钻孔锥形管；整体钻孔锥形套管；整钻锥形；锥形整体钻孔；锥形整体钻孔式套管；整体钻孔保护管,0
TG套管形式,-B,B 型螺纹连接 直形保护套管,整体钻孔直形套管；直型；直形；整体钻孔直形保护管；直形Straight；法兰式整体钻孔式直形；固定直形整体钻孔法兰套管；法兰直形套管；整体钻孔保护管,0
TG套管形式,-C,C 型螺纹连接 台阶形保护套管,台阶形保护管；阶梯形保护管；Stepped；Stepped Type,0
传感器连接螺纹（S）,1,M12 × 1.5,M12；M12*1.5；M12×1.5,0
传感器连接螺纹（S）,2,M16 × 1.5,M16；M16*1.5；M16×1.5,0
传感器连接螺纹（S）,3,M27 × 2,M27；M27*2；M27×2；M27X2；固定外螺纹 M27×2；FIXED THREAD M27x2；Screw ThreadM27X2,0
传感器连接螺纹（S）,4,G1/2,G1/2；G1/2外螺纹(M)；G1/2(M),0
传感器连接螺纹（S）,5,G3/4,M20；M20*1.5；M20×1.5；M20*1.5(M)；M20×1.5(M)；M20X1.5；M20x1.5(M)；固定外螺纹M20x1.5,0
传感器连接螺纹（S）,6,1/2NPT,1/2NPT；1/2"NPT；NPT1/2；NPT1/2"；1/2NPT(M)；1/2"NPT(M)；NPT1/2(M)；NPT1/2"(M)；1/2"NPT(外螺纹)；1/2"NPT螺纹；热电阻(弹簧式1/2”NPT外螺纹连接)；固定外螺纹 1/2"NPT；MFR STD,0
传感器连接螺纹（S）,Z,其它,其它,0
过程连接（P）,-12,1/2" NPT,1/2NPT；1/2"NPT；NPT1/2；NPT1/2"；1/2NPT(M)；1/2"NPT(M)；NPT1/2(M)；NPT1/2"(M)；1/2"NPT(外螺纹)；1/2"NPT螺纹；热电阻(弹簧式1/2”NPT外螺纹连接)；固定外螺纹 1/2"NPT；MFR STD,0
过程连接（P）,-34,3/4" NPT,3/4NPT；3/4"NPT；NPT3/4；NPT3/4"；3/4NPT(M)；3/4"NPT(M)；NPT3/4(M)；NPT3/4"(M)；3/4"NPT(外螺纹)；3/4"NPT螺纹；热电阻(弹簧式3/4”NPT外螺纹连接)；固定外螺纹 3/4"NPT；MFR STD,0
过程连接（P）,-10,1" NPT,1"NPT；NPT1"；1"NPT(M)；NPT1"(M),0
过程连接（P）,-20,M20 × 1.5,M20；M20*1.5；M20×1.5；M20*1.5(M)；M20×1.5(M)；M20X1.5；M20x1.5(M)；,0
过程连接（P）,-27,M27 × 2,M27；M27*2；M27×2；M27*2(M)；M27×2(M)；M27X2；M27x2(M)；,0
过程连接（P）,-33,M33 × 2,M33；M33*2；M33×2；M33*2(M)；M33×2(M)；M33X2；M33x2(M)；,0
过程连接（P）,-G12,G1/2",G1/2；G1/2(M)；G1/2"；G1/2"(M),0
过程连接（P）,-G34,G3/4",G3/4；G3/4(M)；G3/4"；G3/4"(M),0
过程连接（P）,-G10,G1",G1"；G1"(M),0
过程连接（P）,-Z,其它,NaN,0
材质,GH,GH3030,GH3030,0
材质,GN,GH3039,GH3039,0
材质,HC,Hastelloy C-276,Hastelloy C-276；哈氏C276；HC276,0
材质,JN,Inconel 625,Inconel 625,0
材质,N1,碳钢（SA-105）,SA-105,0
材质,N2,碳钢（15CrMo）,15CrMo,0
材质,PN,304不锈钢,304SS；AISI 304；304；30408；S30408；06Cr19Ni10;0Cr18Ni9,0
材质,QN,310不锈钢,S31008；310S；310；310SS；06Cr25Ni20,0
材质,RN,316不锈钢,316SS；316；SS316；316S.S；316SST；S.S316；S31608；06Cr17Ni12Mo2；0Cr17Ni12Mo2,0
材质,RH,316H不锈钢,316H,0
材质,RL,316L不锈钢,316L；316LSS；SS316L；S31603；022Cr17Ni12Mo2；00Cr17Ni14Mo2,0
材质,SN,321不锈钢,321SS；1Cr18Ni9Ti；321；S32168；06Cr18Ni11Ti；0Cr18Ni10Ti,0
材质,TA,钛(TA2),TA2；钛,0
材质,DP,2205双相不锈钢,2205；S22053；022Cr25Ni5Mo3N,0
材质,Z,其它,其它,0
根部直径（Q）,%int%,参见表1.0,2位字符,0
端部直径（V）,/%int%,参见表1.0,2位字符,0
插入深度（U）,-%int%,单位：mm,3位字符,0
套管附加规格,NaN,默认,若甲方未提供，则选择此项,1
套管附加规格,/A1,焊接座,NaN,0
套管附加规格,/A3,外保护套管频率强度计算,NaN,0
套管附加规格,/A4,外保护套管材质报告,NaN,0
套管附加规格,/A5,外保护套管射线探伤报告,NaN,0
套管附加规格,/A6,外保护套管着色渗透报告,NaN,0
套管附加规格,/R1,外保护套管接液部分禁油处理,NaN,0
套管附加规格,/F1,外保护套管水压测试,NaN,0
套管附加规格,/F2,外保护套管接液部分抛光处理,NaN,0
